Level,Function Name,Number of Calls,Elapsed Inclusive Time %,Elapsed Exclusive Time %,Avg Elapsed Inclusive Time,Avg Elapsed Exclusive Time,Module Name,
0,"python.exe",0,100.00,0.00,0.00,0.00,"",
1,"app (module)",1,100.00,0.00,"1,420.26",0.03,"app.py",
2,"bottle.run",1,86.80,0.00,"1,232.72",0.02,"bottle.py",
3,"bottle.run",1,86.78,0.00,"1,232.56",0.02,"bottle.py",
4,"socketserver.BaseServer.serve_forever",1,85.86,0.00,"1,219.38",0.05,"socketserver.py",
5,"selectors.select",4,70.69,0.00,250.99,0.01,"selectors.py",
6,"selectors._select",4,70.69,0.00,250.98,0.01,"selectors.py",
7,"select.select",4,70.68,70.68,250.97,250.97,"select",
6,"max",4,0.00,0.00,0.00,0.00,"builtins",
5,"selectors.register",1,15.16,0.00,215.33,0.00,"selectors.py",
6,"selectors.register",1,15.16,0.00,215.32,0.01,"selectors.py",
7,"selectors._fileobj_lookup",1,15.16,0.00,215.31,0.00,"selectors.py",
8,"selectors._fileobj_to_fd",1,15.16,15.16,215.31,215.28,"selectors.py",
9,"socketserver.TCPServer.fileno",1,0.00,0.00,0.02,0.01,"socketserver.py",
10,"socket.fileno",1,0.00,0.00,0.01,0.01,"Unidentifiable Method",
9,"isinstance",1,0.00,0.00,0.00,0.00,"builtins",
7,"<string>.<lambda>",1,0.00,0.00,0.00,0.00,"(string)",
8,"type.__new__",1,0.00,0.00,0.00,0.00,"Unidentifiable Method",
6,"set.add",1,0.00,0.00,0.00,0.00,"Unidentifiable Method",
5,"selectors.__exit__",1,0.00,0.00,0.01,0.00,"selectors.py",
6,"selectors.close",1,0.00,0.00,0.01,0.00,"selectors.py",
7,"dict.clear",1,0.00,0.00,0.00,0.00,"Unidentifiable Method",
5,"threading.Event.set",1,0.00,0.00,0.01,0.00,"threading.py",
6,"threading.Condition.notify_all",1,0.00,0.00,0.00,0.00,"threading.py",
7,"threading.Condition.notify",1,0.00,0.00,0.00,0.00,"threading.py",
8,"threading.Condition._is_owned",1,0.00,0.00,0.00,0.00,"threading.py",
9,"_thread.lock.acquire",1,0.00,0.00,0.00,0.00,"Unidentifiable Method",
7,"len",1,0.00,0.00,0.00,0.00,"builtins",
6,"threading.Condition.__enter__",1,0.00,0.00,0.00,0.00,"threading.py",
7,"_thread.lock.__enter__",1,0.00,0.00,0.00,0.00,"Unidentifiable Method",
6,"threading.Condition.__exit__",1,0.00,0.00,0.00,0.00,"threading.py",
7,"_thread.lock.__exit__",1,0.00,0.00,0.00,0.00,"Unidentifiable Method",
5,"selectors.__init__",1,0.00,0.00,0.01,0.00,"selectors.py",
6,"selectors.__init__",1,0.00,0.00,0.00,0.00,"selectors.py",
7,"selectors.__init__",1,0.00,0.00,0.00,0.00,"selectors.py",
5,"threading.Event.clear",1,0.00,0.00,0.00,0.00,"threading.py",
6,"threading.Condition.__enter__",1,0.00,0.00,0.00,0.00,"threading.py",
7,"_thread.lock.__enter__",1,0.00,0.00,0.00,0.00,"Unidentifiable Method",
6,"threading.Condition.__exit__",1,0.00,0.00,0.00,0.00,"threading.py",
7,"_thread.lock.__exit__",1,0.00,0.00,0.00,0.00,"Unidentifiable Method",
5,"socketserver.BaseServer.service_actions",3,0.00,0.00,0.00,0.00,"socketserver.py",
5,"selectors.__enter__",1,0.00,0.00,0.00,0.00,"selectors.py",
4,"<frozen importlib._find_and_load",1,0.56,0.00,7.96,0.00,"(frozen importlib._bootstrap)",
5,"<frozen importlib._find_and_load_unlocked",1,0.56,0.00,7.95,0.00,"(frozen importlib._bootstrap)",
6,"<frozen importlib._load_unlocked",1,0.52,0.00,7.43,0.00,"(frozen importlib._bootstrap)",
7,"<frozen importlib._LoaderBasics.exec_module",1,0.52,0.00,7.41,0.00,"(frozen importlib._bootstrap_external)",
8,"<frozen importlib._call_with_frames_removed",1,0.47,0.00,6.67,0.00,"(frozen importlib._bootstrap)",
9,"exec",1,0.47,0.00,6.67,0.03,"builtins",
10,"wsgiref.simple_server (module)",1,0.47,0.00,6.64,0.01,"simple_server.py",
11,"<frozen importlib._find_and_load",3,0.46,0.00,2.20,0.00,"(frozen importlib._bootstrap)",
12,"<frozen importlib._find_and_load_unlocked",3,0.46,0.00,2.19,0.00,"(frozen importlib._bootstrap)",
13,"<frozen importlib._load_unlocked",3,0.45,0.00,2.11,0.00,"(frozen importlib._bootstrap)",
14,"<frozen importlib._LoaderBasics.exec_module",3,0.44,0.00,2.09,0.00,"(frozen importlib._bootstrap_external)",
