Type,Root Function Name,Function Name,Number of Calls,Elapsed Inclusive Time %,Elapsed Exclusive Time %,Avg Elapsed Inclusive Time,Avg Elapsed Exclusive Time,Module Name,
"Root","__build_class__","__build_class__",362,10.16,9.92,0.40,0.39,"builtins",
"Caller","__build_class__","__future__ (module)",1,0.00,0.00,0.02,0.01,"__future__.py",
"Caller","__build_class__","_compression (module)",2,0.00,0.00,0.02,0.00,"_compression.py",
"Caller","__build_class__","_weakrefset (module)",2,0.00,0.00,0.01,0.01,"_weakrefset.py",
"Caller","__build_class__","ast (module)",17,0.02,0.01,0.02,0.01,"ast.py",
"Caller","__build_class__","bdb (module)",4,0.00,0.00,0.01,0.01,"bdb.py",
"Caller","__build_class__","bottle (module)",67,0.05,0.02,0.01,0.00,"bottle.py",
"Caller","__build_class__","bottle.run",1,0.00,0.00,0.01,0.01,"bottle.py",
"Caller","__build_class__","bz2 (module)",1,0.00,0.00,0.05,0.00,"bz2.py",
"Caller","__build_class__","calendar (module)",10,0.00,0.00,0.01,0.01,"calendar.py",
"Caller","__build_class__","cmd (module)",1,0.00,0.00,0.01,0.01,"cmd.py",
"Caller","__build_class__","code (module)",2,0.01,0.01,0.04,0.04,"code.py",
"Caller","__build_class__","codeop (module)",2,0.00,0.00,0.01,0.01,"codeop.py",
"Caller","__build_class__","configparser (module)",20,0.06,0.01,0.04,0.00,"configparser.py",
"Caller","__build_class__","contextlib (module)",15,0.01,0.00,0.01,0.00,"contextlib.py",
"Caller","__build_class__","copy (module)",1,0.00,0.00,0.01,0.01,"copy.py",
"Caller","__build_class__","datetime (module)",7,0.01,0.00,0.02,0.01,"datetime.py",
"Caller","__build_class__","dis (module)",2,0.00,0.00,0.01,0.01,"dis.py",
"Caller","__build_class__","email._encoded_words (module)",1,0.00,0.00,0.01,0.01,"_encoded_words.py",
"Caller","__build_class__","email._parseaddr (module)",2,0.00,0.00,0.01,0.01,"_parseaddr.py",
"Caller","__build_class__","email._policybase (module)",3,0.00,0.00,0.02,0.00,"_policybase.py",
"Caller","__build_class__","email.charset (module)",1,0.00,0.00,0.01,0.01,"charset.py",
"Caller","__build_class__","email.errors (module)",25,0.01,0.01,0.00,0.00,"errors.py",
"Caller","__build_class__","email.feedparser (module)",3,0.00,0.00,0.01,0.01,"feedparser.py",
"Caller","__build_class__","email.header (module)",3,0.00,0.00,0.01,0.01,"header.py",
"Caller","__build_class__","email.message (module)",3,0.02,0.00,0.09,0.01,"message.py",
"Caller","__build_class__","email.parser (module)",4,0.00,0.00,0.01,0.01,"parser.py",
"Caller","__build_class__","encodings.idna (module)",5,0.00,0.00,0.01,0.01,"idna.py",
"Caller","__build_class__","hmac (module)",1,0.00,0.00,0.02,0.01,"hmac.py",
"Caller","__build_class__","http (module)",1,0.03,0.00,0.45,0.01,"__init__.py",
"Caller","__build_class__","http.client (module)",18,0.01,0.01,0.01,0.01,"client.py",
"Caller","__build_class__","http.cookies (module)",4,0.00,0.00,0.01,0.01,"cookies.py",
"Caller","__build_class__","http.server (module)",5,0.00,0.00,0.01,0.01,"server.py",
"Caller","__build_class__","inspect (module)",10,0.01,0.00,0.01,0.00,"inspect.py",
"Caller","__build_class__","json.decoder (module)",2,0.00,0.00,0.01,0.01,"decoder.py",
"Caller","__build_class__","json.encoder (module)",1,9.76,9.76,138.69,138.68,"encoder.py",
"Caller","__build_class__","lzma (module)",1,0.00,0.00,0.02,0.00,"lzma.py",
"Caller","__build_class__","mimetypes (module)",1,0.00,0.00,0.01,0.01,"mimetypes.py",
"Caller","__build_class__","pdb (module)",3,0.00,0.00,0.02,0.02,"pdb.py",
"Caller","__build_class__","pickle (module)",8,0.00,0.00,0.01,0.01,"pickle.py",
"Caller","__build_class__","platform (module)",2,0.00,0.00,0.01,0.01,"platform.py",
"Caller","__build_class__","pprint (module)",2,0.00,0.00,0.01,0.01,"pprint.py",
"Caller","__build_class__","random (module)",2,0.00,0.00,0.01,0.01,"random.py",
"Caller","__build_class__","selectors (module)",5,0.00,0.00,0.01,0.00,"selectors.py",
"Caller","__build_class__","shutil (module)",7,0.00,0.00,0.01,0.01,"shutil.py",
"Caller","__build_class__","socket (module)",3,0.00,0.00,0.01,0.01,"socket.py",
