Function Name,Number of Calls,Elapsed Inclusive Time %,Elapsed Exclusive Time %,Avg Elapsed Inclusive Time,Avg Elapsed Exclusive Time,Module Name,
"select.select",4,70.68,70.68,250.97,250.97,"select",
"selectors._fileobj_to_fd",1,15.16,15.16,215.31,215.28,"selectors.py",
"__build_class__",362,10.16,9.92,0.40,0.39,"builtins",
"io.open_code",89,0.56,0.56,0.09,0.09,"io",
"_imp.create_dynamic",7,0.47,0.47,0.95,0.95,"_imp",
"marshal.loads",89,0.41,0.41,0.07,0.07,"marshal",
"nt.stat",551,0.36,0.36,0.01,0.01,"nt",
"<frozen importlib._path_join","1,666",0.32,0.20,0.00,0.00,"(frozen importlib._bootstrap_external)",
"_io.BufferedReader.read",89,0.16,0.16,0.03,0.03,"Unidentifiable Method",
"socket.bind",1,0.15,0.15,2.17,2.17,"Unidentifiable Method",
"_socket.gethostbyaddr",1,0.17,0.09,2.42,1.34,"_socket",
"exec",89,13.65,0.08,19.39,0.01,"builtins",
"sre_parse._parse",194,0.21,0.07,0.02,0.01,"sre_parse.py",
"<frozen importlib.FileFinder.find_spec",336,0.71,0.07,0.03,0.00,"(frozen importlib._bootstrap_external)",
"eval",17,0.05,0.04,0.04,0.04,"builtins",
"enum.__new__",20,0.11,0.04,0.08,0.03,"enum.py",
"<frozen importlib.SourceLoader.get_code",89,1.34,0.04,0.21,0.01,"(frozen importlib._bootstrap_external)",
"sre_parse.__next","4,032",0.04,0.04,0.00,0.00,"sre_parse.py",
"type.__new__",348,0.04,0.04,0.00,0.00,"Unidentifiable Method",
"<frozen importlib._find_and_load",123,13.82,0.03,19.62,0.00,"(frozen importlib._bootstrap)",
"str.startswith","5,536",0.03,0.03,0.00,0.00,"Unidentifiable Method",
"sre_compile._optimize_charset",132,0.05,0.03,0.01,0.00,"sre_compile.py",
"socket.socket.__init__",1,0.03,0.03,0.44,0.44,"socket.py",
"str.endswith","5,472",0.03,0.03,0.00,0.00,"Unidentifiable Method",
"_io.BufferedReader.__exit__",89,0.03,0.03,0.00,0.00,"Unidentifiable Method",
"<frozen importlib._find_spec",119,0.81,0.02,0.10,0.00,"(frozen importlib._bootstrap)",
"sre_compile._compile",319,0.08,0.02,0.00,0.00,"sre_compile.py",
"getattr","1,300",0.02,0.02,0.00,0.00,"builtins",
"<frozen importlib.<listcomp>","1,666",0.03,0.02,0.00,0.00,"(frozen importlib._bootstrap_external)",
"collections.namedtuple",17,0.07,0.02,0.06,0.02,"__init__.py",
"str.rstrip","5,177",0.02,0.02,0.00,0.00,"Unidentifiable Method",
"sre_parse.Tokenizer.get","3,522",0.05,0.02,0.00,0.00,"sre_parse.py",
"len","8,317",0.02,0.02,0.00,0.00,"builtins",
"_imp.create_builtin",16,0.02,0.02,0.02,0.02,"_imp",
"<frozen importlib.cache_from_source",178,0.09,0.02,0.01,0.00,"(frozen importlib._bootstrap_external)",
"<frozen importlib._get_spec",103,0.77,0.02,0.11,0.00,"(frozen importlib._bootstrap_external)",
"isinstance","6,519",0.02,0.02,0.00,0.00,"builtins",
"list.append","7,080",0.02,0.02,0.00,0.00,"Unidentifiable Method",
"<frozen importlib._get_module_lock",125,0.04,0.02,0.00,0.00,"(frozen importlib._bootstrap)",
"_compat_pickle (module)",1,0.02,0.02,0.24,0.23,"_compat_pickle.py",
"enum._EnumDict.__setitem__",321,0.04,0.02,0.00,0.00,"enum.py",
"_thread.allocate_lock",250,0.02,0.02,0.00,0.00,"_thread",
"sre_parse.SubPattern.getwidth",397,0.02,0.02,0.00,0.00,"sre_parse.py",
"str.join","1,887",0.02,0.01,0.00,0.00,"Unidentifiable Method",
"<frozen importlib._load_unlocked",112,13.77,0.01,19.55,0.00,"(frozen importlib._bootstrap)",
"<frozen importlib._verbose_message","1,764",0.01,0.01,0.00,0.00,"(frozen importlib._bootstrap)",
"enum.__setattr__",390,0.01,0.01,0.00,0.00,"enum.py",
