Name,Number of Calls,Elapsed Inclusive Time %,Elapsed Exclusive Time %,Avg Elapsed Inclusive Time,Avg Elapsed Exclusive Time,
"select",4,70.68,70.68,250.97,250.97,
"selectors.py",28,85.92,15.17,64.23,7.69,
"builtins","21,229",13.72,10.15,0.20,0.01,
"Unidentifiable Method","32,007",0.56,0.56,0.00,0.00,
"io",89,0.56,0.56,0.09,0.09,
"_imp","1,480",0.51,0.51,0.00,0.00,
"(frozen importlib._bootstrap_external)","7,969",13.80,0.50,0.30,0.00,
"marshal",89,0.41,0.41,0.07,0.07,
"nt",856,0.38,0.38,0.01,0.01,
"sre_parse.py","14,415",0.24,0.22,0.00,0.00,
"(frozen importlib._bootstrap)","5,214",13.82,0.19,1.01,0.00,
"enum.py","2,878",0.20,0.14,0.00,0.00,
"_socket",1,0.17,0.09,2.42,1.34,
"sre_compile.py","1,419",0.36,0.09,0.00,0.00,
"socket.py",842,0.49,0.04,1.39,0.00,
"bottle.py",512,99.64,0.03,6.07,0.00,
"__init__.py",114,0.07,0.02,0.01,0.00,
"_thread",503,0.02,0.02,0.00,0.00,
"_compat_pickle.py",130,0.02,0.02,0.24,0.00,
"re.py",332,0.38,0.01,0.02,0.00,
"_abc",46,0.01,0.01,0.00,0.00,
"datetime.py",90,0.02,0.01,0.33,0.00,
"socketserver.py",23,86.23,0.01,111.33,0.00,
"ssl.py",774,0.25,0.01,3.51,0.00,
"threading.py",41,0.03,0.01,0.04,0.00,
"entities.py",1,0.01,0.01,0.13,0.10,
"inspect.py",11,0.26,0.01,3.73,0.01,
"ast.py",23,0.06,0.01,0.88,0.00,
"opcode.py",144,0.01,0.01,0.11,0.00,
"hmac.py",516,0.15,0.00,2.15,0.00,
"pickle.py",10,0.07,0.00,1.05,0.01,
"_policybase.py",22,0.05,0.00,0.66,0.00,
"locale.py",1,0.02,0.00,0.30,0.05,
"random.py",6,0.06,0.00,0.82,0.01,
"cookies.py",6,0.05,0.00,0.74,0.01,
"abc.py",57,0.04,0.00,0.01,0.00,
"parse.py",14,0.02,0.00,0.31,0.00,
"quoprimime.py",2,0.06,0.00,0.90,0.02,
"server.py",8,0.53,0.00,3.75,0.01,
"os.py",240,0.00,0.00,0.00,0.00,
"functools.py",60,0.01,0.00,0.00,0.00,
"_hashlib",12,0.00,0.00,0.00,0.00,
"_sre",67,0.00,0.00,0.00,0.00,
"weakref.py",7,0.01,0.00,0.19,0.01,
"pdb.py",4,0.20,0.00,2.88,0.01,
"handlers.py",64,0.05,0.00,0.68,0.00,
"client.py",20,0.52,0.00,7.36,0.00,
"calendar.py",19,0.13,0.00,1.87,0.00,
"app.py",1,100.00,0.00,"1,420.26",0.03,
"stringprep.py",1,0.00,0.00,0.03,0.03,
"charset.py",4,0.15,0.00,0.55,0.01,
"subprocess.py",9,0.04,0.00,0.54,0.00,
"_ssl",4,0.00,0.00,0.01,0.01,
"shutil.py",8,0.27,0.00,3.80,0.00,
"hashlib.py",17,0.01,0.00,0.11,0.00,
"simple_server.py",8,0.83,0.00,2.36,0.00,
"encoder.py",3,9.78,0.00,69.43,0.01,
"__init__.py",64,0.03,0.00,0.45,0.00,
"signal.py",68,0.01,0.00,0.21,0.00,
"configparser.py",21,0.06,0.00,0.85,0.00,
"decoder.py",4,0.05,0.00,0.37,0.01,
"platform.py",5,0.14,0.00,0.65,0.00,
"__init__.py",1,9.87,0.00,140.19,0.02,
"message.py",4,0.08,0.00,1.08,0.01,
"(frozen zipimport)",8,0.01,0.00,0.01,0.00,
"contextlib.py",18,0.01,0.00,0.05,0.00,
"dis.py",3,0.04,0.00,0.54,0.01,
"idna.py",8,0.05,0.00,0.24,0.00,
"tempfile.py",6,0.34,0.00,4.79,0.00,
"pprint.py",3,0.00,0.00,0.03,0.01,
"mimetypes.py",3,0.02,0.00,0.33,0.01,
"traceback.py",4,0.02,0.00,0.31,0.00,
"copy.py",2,0.02,0.00,0.26,0.01,
"sys",115,0.00,0.00,0.00,0.00,
"_collections_abc.py",70,0.00,0.00,0.00,0.00,
"utils.py",1,0.68,0.00,9.60,0.01,
"string.py",4,0.03,0.00,0.37,0.00,
"header.py",4,0.02,0.00,0.30,0.00,
